게임명,게임유형,게임간단한소개,게임플레이링크
EvoWorld io (FlyOrDie io),"스킬 게임, 마우스 게임","EvoWorld io (FlyOrDie io)는 작은 파리로 시작하여 먹이를 먹고 진화하는 실력 게임입니다. 다양한 경기장을 날아다니며, 생존을 위해 물을 마시고, 위험한 포식자를 피해 가장 강한 생물이 되세요.",https://poki.com/kr/g/flyordie-io
Bullet Bros,"액션 게임, 플랫폼 게임","혼돈의 레벨을 돌파하며 적들을 화면 밖으로 날려버리세요. 연속 처치를 끊지 말고, 그 기세를 몰아 최대한 멀리 나아가세요.",https://poki.com/kr/g/bullet-bros
"Perfect Landing, Plane Pilot","스킬 게임, 시뮬레이션 게임","Perfect Landing, Plane Pilot은 플레이어를 하늘로 데려가는 재미있는 기술 게임입니다. 끝없는 구름 사이로 비행기를 조종하고, 회전하는 풍력 터빈을 피하며, 비행 중 최고 점수를 만드세요.",https://poki.com/kr/g/perfect-landing-plane-pilot
Undead Slayer,"액션 게임, 스킬 게임","Undead Slayer는 무자비한 괴물 무리와 맞서는 액션 게임입니다. 어두운 전장에서 무기를 휘두르고, 적의 공격을 피하며, 모든 웨이브를 클리어하여 대지에 평화를 되찾으세요.",https://poki.com/kr/g/undead-slayer
Watermelon Drop,"두뇌 게임, 스킬 게임","Watermelon Drop은 컵 안에 과일, 채소를 톡톡 떨어뜨려 합치는 두뇌 퍼즐 게임! 똑같은 아이템끼리 합쳐 더 크게 만들고, 최대한 많이 없애서 고득점을 노려 보세요! (Merge 게임)",https://poki.com/kr/g/watermelon-drop
Kawaii Fruits 3D,"두뇌 게임, 스킬 게임",Kawaii Fruits 3D는 귀여운 음식 아이템을 용기에 떨어뜨리는 스킬 게임입니다. 같은 아이템을 합쳐 더 큰 종류로 만드세요. 넘치지 않도록 신중하게 배치하여 점수를 획득하세요.,https://poki.com/kr/g/kawaii-fruits-3d
Blumgi Bounce,"스킬 게임, 농구 게임",Blumgi Bounce는 농구 골대에 공 넣는 플랫포머 게임! 꾹 눌러 던지면 멀리 나가니 타이밍 맞춰 슛! 혼자 or 친구와 함께 즐겜!,https://poki.com/kr/g/blumgi-bounce
Brain Test 5,"퍼즐 게임, 두뇌 게임","Brain Test 5는 기발한 수수께끼와 독창적인 퍼즐을 푸는 두뇌 게임입니다. 단서를 주의 깊게 살펴보고, 화면에서 올바른 항목을 선택하여 각 레벨을 완료할 창의적인 해결책을 찾으세요.",https://poki.com/kr/g/brain-test-5
Blumgi Merge,"어드벤쳐 게임, 마우스 게임","보드에 크리처를 떨어뜨리고 같은 것끼리 합쳐서 점점 더 희귀한 유형을 발견해 보세요. 조각을 놓아 여러 곳에서 한 번에 연쇄 합성을 일으키고, 공간이 다 차기 전에 최고 등급에 도달하세요!",https://poki.com/kr/g/blumgi-merge
Stickman Climb 3D,"스킬 게임, 플랫폼 게임",Stickman Climb 3D는 물리 엔진 기반의 플랫포머 게임입니다. 도구로 스틱맨을 쏘아 올려 결승점에 도달하세요. 추진력을 조절해 벽을 타고 장애물을 피하세요.,https://poki.com/kr/g/stickman-climb-3d
Brain Test Special,"퍼즐 게임, 두뇌 게임","Brain Test Special은 두뇌를 자극하는 수수께끼와 퀴즈로 가득한 두뇌 게임입니다. 틀에 박힌 생각을 벗어나 논리 퍼즐, 숨은 그림 찾기, 재치 있는 상황을 자유롭게 풀어보세요.",https://poki.com/kr/g/brain-test-special
11-11,"두뇌 게임, 블록 게임",11-11은 공간 계획 능력을 평가하는 퍼즐 게임입니다. 그리드 위에서 색깔 있는 숫자 블록을 밀어 같은 숫자 블록을 합치고 줄을 지우세요. 보드가 가득 차는 것을 막기 위해 전략적으로 움직이세요.,https://poki.com/kr/g/11-11
Blumgi Slime,"스킬 게임, 플랫폼 게임","Blumgi Slime은 찰진 슬라임 점프로 함정 가득한 레벨을 돌파하는 플랫포머 게임! 타이밍 맞춰 점프하고, 가시를 피하며 골인하세요. 혼자 또는 친구와 2인용으로 즐기세요!",https://poki.com/kr/g/blumgi-slime
Obby Roads,"레이싱 게임, 멀티플레이어 게임","Obby Roads는 위험천만한 공중 트랙에서 펼쳐지는 운전 게임입니다. 속도를 조절해 좁은 다리를 건너고, 함정을 피하며 체크포인트를 질주해 최고 기록을 세우세요!",https://poki.com/kr/g/obby-roads
