₩,항목,발견된 이슈 및 현상,AI 개발 프롬프트,우선순위,완료여부
101,캐릭터 주식 시장(Stock Market) 차트 및 거래 폼 미니멀 탭 분리,"주식 모달에서 캔들 차트, 호가창, 매수/매도 수량 슬라이더가 한 화면에 빽빽하게 배치되어 오터치가 자주 발생함.","Streamline Stock Trading Modal (`StockMarketModal.vue`). Separate the interface into 2 top sub-tabs: 'Market Chart' and 'Trade (Buy/Sell)', isolating chart visualizers from order execution controls to clean up modal layout.",중간,
102,전투 그리드 렌더링 메모리 누수 방지 및 파괴자(Garbage Collector) 최적화,대전 후 연속 재도전이나 다회차 진행 시 가비지 컬렉션 미처리에 따른 메모리 지연으로 프레임 저하 발생.,Implement Canvas Memory Cleanup & Event Listener Garbage Collection in `BattleEngine.js`. Unbind drag-and-drop listeners and destroy unmounted card sprite textures upon match completion to prevent memory leaks during continuous gameplay sessions.,높음,
103,카드 레벨업/스킬 강화 성공 시 스파클 이펙트(Glow & Sparkle FX) 시각화,카드 레벨업 및 스킬 노드 강화 성공 시 연출이 단순 수치 변경으로만 나타나 강화 성공 시각적 쾌감 부족.,Add a Glowing Sparkle Upgrade Success FX (`UpgradeSuccessOverlay.vue`). Trigger a 1-second radial light burst with floating particle sparks and a metallic chime sound when a card levels up or unlocks a skill node.,중간,
104,메인 로비 유저 정보 프로필 카드 크기 축소 및 헤더 정렬 통일,로비 상단 프로필 정보 패널이 지나치게 크게 배치되어 메인 캐릭터 일러스트 및 콘텐츠 화면을 가림.,"Streamline Main Lobby Player Profile Bar (`HeaderProfileCard.vue`). Reduce avatar tile padding by 20%, position level progress bar neatly below the username in a single line, and align with top header bar elements to maximize central viewport visibility.",중간,
105,모바일 터치 드래그 가속도(Touch Velocity Throttling) 및 디바운스 최적화,모바일 화면에서 빠른 드래그 입력 시 이벤트 리스너의 빈번한 호출로 인해 카드가 떨리거나 오터치 발생.,"Apply Touch Event Throttling and RequestAnimationFrame Throttling to Card Dragging (`DragService.js`). Throttle pointer movement events to match 60fps frame cycles, preventing event listener thrashing and smoothing out card drag animations on touch displays.",중간,
106,전투 그리드 렌더링 메모리 누수 방지 및 가비지 컬렉터(Garbage Collector) 최적화,대전 후 연속 재도전이나 다회차 진행 시 가비지 컬렉션 미처리에 따른 메모리 지연으로 점진적 프레임 저하 발생.,Implement Canvas Memory Cleanup & Event Listener Garbage Collection in `BattleEngine.js`. Unbind drag-and-drop listeners and destroy unmounted card sprite textures upon match completion to prevent memory leaks during continuous gameplay sessions.,높음,
107,카드 레벨업/스킬 강화 성공 시 스파클 이펙트(Glow & Sparkle FX) 시각화,카드 레벨업 및 스킬 노드 강화 성공 시 연출이 단순 수치 변경으로만 나타나 강화 성공 시각적 쾌감 부족.,Add a Glowing Sparkle Upgrade Success FX (`UpgradeSuccessOverlay.vue`). Trigger a 1-second radial light burst with floating particle sparks and a metallic chime sound when a card levels up or unlocks a skill node.,중간,
108,메인 로비 유저 정보 프로필 카드 크기 축소 및 헤더 정렬 통일,로비 상단 프로필 정보 패널이 지나치게 크게 배치되어 메인 캐릭터 일러스트 및 콘텐츠 화면을 가림.,"Streamline Main Lobby Player Profile Bar (`HeaderProfileCard.vue`). Reduce avatar tile padding by 20%, position level progress bar neatly below the username in a single line, and align with top header bar elements to maximize central viewport visibility.",중간,
109,모바일 터치 드래그 가속도(Touch Velocity Throttling) 및 디바운스 최적화,모바일 화면에서 빠른 드래그 입력 시 이벤트 리스너의 빈번한 호출로 인해 카드가 떨리거나 오터치 발생.,"Apply Touch Event Throttling and RequestAnimationFrame Throttling to Card Dragging (`DragService.js`). Throttle pointer movement events to match 60fps frame cycles, preventing event listener thrashing and smoothing out card drag animations on touch displays.",중간,
110,가상화 스크롤(Virtual Scrolling) 적용을 통한 카드 인벤토리 DOM 노드 최적화,보유 카드가 늘어나면 인벤토리 및 도감 화면에서 수백 개의 DOM 카드가 동시 생성되어 스크롤 및 탭 전환 시 프레임 지연 및 메모리 소모 증가.,"Implement Virtualized Grid Scrolling in Card Inventory and Codex (`CardInventoryGrid.vue`). Utilize `vue-virtual-scroller` or a custom Intersection Observer grid renderer to mount only visible viewport card tiles, reducing DOM node count by 80% and eliminating scrolling stutter.",높음,
111,카드 3D 틸트(Tilt) 및 호버/터치 쉐도우 마이크로 이펙트 정돈,카드를 탭하거나 호버할 때 입체감(Depth Effect) 연출이 과도하여 카드 위 상/하/좌/우 수치 및 속성 아이콘 가독성이 다소 방해받음.,"Refine Card Hover & Touch Depth Effects (`CardTile.vue`). Soften 3D tilt angles (max 10deg transform) and apply a clean, subtle drop-shadow (`box-shadow: 0 4px 12px rgba(0,0,0,0.3)`) while ensuring top/right/bottom/left directional number badges remain crisp and fully legible.",중간,
112,전투 화면 하단 손패 영역 가로 스크롤 카드 마스킹 그라데이션 적용,대전 하단 손패 영역의 좌우 끝에 카드가 단절된 채 노출되어 화면 경계선이 어색하고 지저분해 보임.,"Streamline Player Hand Deck Masking (`BattleHand.vue`). Apply CSS mask-image gradient fades to the left and right edges of the horizontal hand scroll container, giving a smooth fade-out visual effect for overflow hand cards.",중간,
113,게임 주요 리소스 프리페치(Pre-fetching) 및 PWA 캐싱 최적화,"로비 진입 후 상점이나 대전 화면으로 최초 이동할 때 오디오, 폰트, 아이콘 리소스의 지연 로딩으로 모달 반응 속도가 매끄럽지 않음.","Implement Resource Prefetching and Service Worker Caching (`PwaService.js`). Pre-cache critical audio SFX, UI webfonts, and common sprite icons during initial app splash screen loading to enable instant modal transitions and offline asset resilience.",중간,
114,전투 그리드 렌더링 메모리 누수 방지 및 가비지 컬렉터(Garbage Collector) 최적화,대전 후 연속 재도전이나 다회차 진행 시 가비지 컬렉션 미처리에 따른 메모리 지연으로 점진적 프레임 저하 발생.,Implement Canvas Memory Cleanup & Event Listener Garbage Collection in `BattleEngine.js`. Unbind drag-and-drop listeners and destroy unmounted card sprite textures upon match completion to prevent memory leaks during continuous gameplay sessions.,높음,
115,카드 레벨업/스킬 강화 성공 시 스파클 이펙트(Glow & Sparkle FX) 시각화,카드 레벨업 및 스킬 노드 강화 성공 시 연출이 단순 수치 변경으로만 나타나 강화 성공 시각적 쾌감 부족.,Add a Glowing Sparkle Upgrade Success FX (`UpgradeSuccessOverlay.vue`). Trigger a 1-second radial light burst with floating particle sparks and a metallic chime sound when a card levels up or unlocks a skill node.,중간,
116,메인 로비 유저 정보 프로필 카드 크기 축소 및 헤더 정렬 통일,로비 상단 프로필 정보 패널이 지나치게 크게 배치되어 메인 캐릭터 일러스트 및 콘텐츠 화면을 가림.,"Streamline Main Lobby Player Profile Bar (`HeaderProfileCard.vue`). Reduce avatar tile padding by 20%, position level progress bar neatly below the username in a single line, and align with top header bar elements to maximize central viewport visibility.",중간,
117,모바일 터치 드래그 가속도(Touch Velocity Throttling) 및 디바운스 최적화,모바일 화면에서 빠른 드래그 입력 시 이벤트 리스너의 빈번한 호출로 인해 카드가 떨리거나 오터치 발생.,"Apply Touch Event Throttling and RequestAnimationFrame Throttling to Card Dragging (`DragService.js`). Throttle pointer movement events to match 60fps frame cycles, preventing event listener thrashing and smoothing out card drag animations on touch displays.",중간,
118,전투 그리드 카드 애니메이션 CSS Hardware Layer Separation (will-change) 적용,대전 중 여러 카드가 동시에 뒤집히는 체인 flip 연출 시 메인 스레드 레이아웃 리플로우로 인해 프레임 저하 발생.,"Optimize Multi-Card Chain Flip Rendering (`BattleBoard.vue`). Apply CSS `will-change: transform, opacity` and hardware layer isolation to card tiles prior to chain flip triggers, ensuring smooth 60fps composite animation rendering during cascade flips.",높음,
119,"카드 등급별(SSR, SR, R, N) 테두리 일러스트 및 빛 반사 연출 정돈",SSR/SR 등급 카드의 테두리 빛 반사 연출이 과도하여 카드 내부 방향 수치의 가독성이 방해받음.,"Refine Rarity Border Artwork & Passive Glint Shimmer (`CardFrame.vue`). Tone down SSR/SR frame particle density by 30% and constrain the glint shimmer animation to card corners, preserving high-contrast legibility for directional number badges.",중간,
120,메인 로비 커뮤니티 및 알림 뱃지 서브 모듈 통합,"로비 화면 상단/우측에 우편함, 친구, 길드 공지 뱃지가 나열되어 화면 가장자리가 어지러움.","Consolidate Social & Notification Widgets (`LobbyHeader.vue`). Combine Mailbox, Social Friends, and Guild alerts into a single unified 'Community Hub' icon button that expands a clean side drawer with sub-tabs for Mails, Friends, and Notifications.",중간,
121,배경음악(BGM) 오디오 파일 IndexedDB/메모리 캐싱 최적화,스테이지 이동 시 배경음악(BGM) 오디오 파일이 매번 네트워크 요청으로 재로드되어 트래픽 소모 및 재생 지연 발생.,"Implement Audio BGM Buffer Caching with Cache-Control headers (`AudioLoader.js`). Cache decoded BGM audio array buffers in IndexedDB/Memory, enabling instant BGM track switching without triggering redundant HTTP network requests.",중간,
122,전투 그리드 타일 CSS 하드웨어 가속 트랜스폼(transform3d) 적용 및 리플로우 방지,카드를 선택하여 그리드 상에 호버할 때 width/height 변경으로 인한 브라우저 레이아웃 리플로우가 발생하여 모바일 프레임 드랍 원인이 됨.,"Optimize Grid Tile Hover Scaling in `BattleBoard.vue`. Replace `width`/`height` transition properties with GPU-accelerated `transform: scale3d(1.05, 1.05, 1)` and `will-change: transform`, eliminating layout reflow thrashing during drag-and-drop targeting.",높음,
123,카드 고유 등급(SSR/SR/R/N) 라벨 뱃지 미니멀화 및 위치 통합,"카드 상단에 등급 라벨, 속성 아이콘, 레벨 뱃지가 번잡하게 나열되어 일러스트 상단 영역을 가림.","Consolidate Card Header Badges in `CardTile.vue`. Merge Card Rarity (SSR/SR) and Element Icon into a single compact top-left badge component with clean translucent gradient fill, freeing up card artwork space.",중간,
124,메인 로비 헤더 배너 내 공지/이벤트 알림 아이콘 슬라이드 드로어 통합,"로비 상단 우측에 이벤트, 패치노트, 공지사항 아이콘이 무분별하게 나열되어 헤더가 조잡해 보임.","Streamline Main Header Action Icons in `HeaderBar.vue`. Group secondary notice icons into a single compact 'News & Notices' bell icon button that expands a clean slide-down drawer with sub-tabs for Events, Announcements, and Patch Notes.",중간,
125,전투 효과음 Web Audio Buffer 인스턴스 자동 해제 및 메모리 점유 방지,연속 대전 시 재생 완료된 SFX 오디오 소스 노드가 메모리에서 즉시 해제되지 않아 오디오 가용 슬롯 부족 현상 발생.,Implement Sound Buffer Memory Auto-Disposal in `BattleAudioEngine.js`. Attach an `onended` event callback to all Web Audio buffer source nodes to automatically disconnect and dispose of audio buffer instances immediately after playback.,중간,
126,CSS content-visibility: auto 기반 모달 내부 Off-screen DOM 렌더링 최적화,모달 내부의 긴 리스트에서 화면 밖 요소들이 초기 모달 레이아웃 스레드를 차지하여 오픈 반응 속도가 둔화됨.,"Apply CSS `content-visibility: auto` and `contain-intrinsic-size` to Modal List Items (`CardInventoryGrid.vue` & `QuestModal.vue`). Defer rendering of off-screen DOM elements until scrolled into view, reducing initial modal paint time by over 50%.",높음,
127,모바일 인게임 알림 토스트(Toast Notification) 미니멀 플로팅 알림 필 디자인 통일,"재화 획득, 퀘스트 완료 시 출력되는 토스트 알림이 화면 상단을 크게 가리고 디자인 스타일이 불일치함.",Redesign Global Toast Notification Banner (`ToastContainer.vue`). Create a sleek 1-line floating dark glassmorphism toast pill at the top-center with smooth 200ms slide-and-fade animation and compact status icons.,중간,
128,메인 로비 우측 헤더 액션 아이콘 통합 및 퀵 허브 드로어 전환,"로비 우측 상단에 알림, 우편함, 소셜 등 보조 아이콘들이 나열되어 모바일 가로 공간이 부족함.","Consolidate Header Right Action Icons (`MainHeader.vue`). Combine secondary Notice, Mail, and Social badge icons into a single 'Hub' drawer trigger icon that slides down an organized notification/community quick-access drawer.",중간,
129,카드 고화질 스프라이트 이미지 Immutable 캐싱 헤더 및 불필요 알파 채널 압축,카드 리소스 요청 시 정적 파일 캐싱 헤더 미흡 및 알파 채널 미최적화로 네트워크 재요청 트래픽 소모 발생.,"Optimize Card Sprite Caching & Compression Strategy (`vite.config.js` & Server Static Headers). Serve card illustrations with immutable `Cache-Control: public, max-age=31536000` headers and strip redundant alpha channels on fully opaque TCG card artwork to reduce sprite file sizes by 40%.",중간,
130,전투 그리드 카드 스킬 연출 전용 오프스크린 캔버스(Offscreen Canvas) 레이어 분리,스킬 발동 시 빛 연출이 메인 카드 그리드와 동일한 캔버스 스레드에서 수행되어 모바일 기기에서 FPS 스파이크 발생.,"Isolate Skill FX Rendering to an Offscreen Overlay Canvas (`SkillCanvasOverlay.vue`). Render particle rays and glowing node animations on a dedicated transparent canvas layer above the main grid, preventing main grid re-renders and smoothing animation frame pacing.",높음,
131,모달 닫기(Close 'X') 버튼 터치 유효 영역(Hit Target Area) 확대 및 가시성 정돈,각종 모달 우측 상단의 닫기(X) 아이콘 크기가 작고 터치 유효 영역이 좁아 오터치 발생.,"Enlarge Modal Close Button Hit Target Area (`BaseModal.vue`). Expand the touch target size to a minimum of 44x44px (`min-w-[44px] min-h-[44px]`), apply a clean subtle hover/tap background circle, and align top-right positioning consistently across all floating modals.",중간,
132,마이덱 카테고리 정렬/필터 바의 모듈화 슬라이드 드로어 전환,"덱 빌딩 화면 상단에 정렬, 속성 필터, 검색바가 고정 수평 바로 한 화면을 채우고 있어 가시성이 떨어짐.","Consolidate Deck Builder Filter Controls (`DeckBuilder.vue`). Collapse the multi-row sorting chips and element filter tags into a single compact 'Filter & Search' button that slides out a clean filter drawer, maximizing the visible inventory card grid.",중간,
133,웹툰 에피소드 이미지 컷 스프라이트 번들링 및 HTTP 요청 단축,스토리 웹툰 감상 시 컷당 20~30개의 낱개 이미지 파일이 개별 HTTP 요청으로 수신되어 로딩 지연 발생.,"Implement Webtoon Image Slice Sprite Bundling (`WebtoonLoader.js`). Bundle sequential webtoon episode image cuts into optimized WebP sprite sheets (or single vertical stitched WebP files), reducing total HTTP request count per episode from 25 to 2.",중간,
134,전투 시작 애니메이션 setInterval 타이머 제거 및 requestAnimationFrame 프레임 스케줄링,대전 시작 카운트다운 시 setInterval 기반 타이머로 인해 프레임 스킵이 발생하여 연출이 부드럽지 못함.,"Refactor Match Intro Timers to use `requestAnimationFrame` (`BattleIntroTimer.js`). Replace `setInterval`/`setTimeout` countdown loops with delta-time `requestAnimationFrame` animation loops, ensuring smooth 60fps intro coin-flip and hand-draw transitions.",중간,
135,카드 3x3 그리드 라인 다크 네온 글로우 스타일로 브랜딩 정돈,3x3 카드 그리드의 경계선이 투박한 단색 선으로 표기되어 게임 아트 스타일과 이질감이 느껴짐.,"Redesign 3x3 Battle Grid Borders (`BattleGrid.vue`). Replace solid border lines with subtle dark-neon CSS inner box-shadows (`box-shadow: inset 0 0 10px rgba(0, 229, 255, 0.15)`) that pulse softly when cards are placed, aligning grid aesthetic with the game's dark sci-fi webtoon theme.",중간,
136,대전 종료 후 결과 화면 패널 슬라이드 연출 시 CSS contain: paint GPU 레이어 격리,대전 완료 후 결과 패널 슬라이드 시 하단 3x3 그리드 카드들이 동시 재드로잉되어 미세 지연 발생.,"Isolate Victory Result Modal GPU Layer (`BattleResult.vue`). Apply `contain: paint` and `transform: translate3d(0, 0, 0)` to the result modal overlay container to prevent the underlying battle grid DOM tree from repainting during the slide-in animation.",높음,
137,모달 팝오버 커스텀 스크롤바(Custom Scrollbar) 시각적 미니멀 디자인 정돈,모달 내부 브라우저 기본 스크롤바가 투박하여 다크 테마 UI 완성도를 저해함.,Customize Modal Scrollbar Styling (`styles/scrollbar.css`). Implement sleek 4px thin dark-translucent scrollbars (`::-webkit-scrollbar { width: 4px; }`) with cyan rounded handles that fade in only during active scrolling.,중간,
138,메인 로비 우측 상단 알림/우편함 뱃지 통합 수직 드로어 적용,"로비 우측 상단 알림, 우편함, 공지 아이콘이 나열되어 공간을 채우고 시선 분산 유발.","Consolidate Header Right Notice Icons (`MainHeader.vue`). Merge individual Notice, Mailbox, and Patch Log buttons into a single compact 'Community' bell icon, expanding an organized slide-out side drawer upon tap.",중간,
139,카드 일러스트 리소스 IndexedDB 로컬 저장소 캐싱을 통한 Zero-Latency 오프라인 로딩,마이덱/도감 이동 시 카드 리소스가 HTTP 캐시 검사를 매번 거쳐 초반 이미지 표시 시차가 발생함.,"Implement IndexedDB Local Asset Caching (`AssetCacheStore.js`). Store fetched WebP card sprite blobs in IndexedDB on first load, loading card textures directly from client local storage on subsequent app opens for zero-network instant rendering.",중간,
140,전투 중 상대 카드 Flip 전 사전 GPU 레이어(will-change) 프로모션 스케줄링,카드가 뒤집히기 직전 GPU 레이어 생성 시점이 불명확하여 아주 미세한 프레임 딜레이가 발생함.,"Schedule Card 3D Flip Layer Promotion (`BattleGridSlot.vue`). Programmatically add `will-change: transform` 50ms prior to triggering card 3D flip animations and revoke it on animation end (`ontransitionend`), ensuring optimal GPU VRAM allocation without persistent layer overhead.",높음,
141,모달 대화창 내부 서브 카드의 슬림 다크 패널 디자인 토큰 통일,"설정, 상점, 우편함 모달 내 서브 안내 카드의 배경색, 테두리, 모서리 곡률이 미세하게 다름.","Standardize Modal Inner Card Container Tokens (`styles/theme.css`). Apply unified CSS tokens (`bg-panel-dark` with `border: 1px solid rgba(255, 255, 255, 0.08)` and `border-radius: 8px`) to all inner information cards across popups for consistent UI depth.",중간,
142,마이덱 화면 내 카드 속성 분포 통계의 드롭다운 미니 팝오버 전환,보유 카드 속성 분포 그래프가 상단에 넓게 펼쳐져 있어 카드 목록 보드가 눌림.,"Compact Deck Element Statistics Overview (`DeckBuilder.vue`). Move multi-line element distribution charts into a compact 'Element Breakdown' popover button on the deck header bar, maximizing screen real estate for the main card inventory grid.",중간,
143,정적 웹폰트 및 SVG 리소스 Brotli(Level 11) 사전 압축 최적화,공용 SVG 및 폰트 파일이 미압축 상태로 다운로드되어 초기 진입 속도가 느림.,"Enable Brotli & Gzip Static Asset Compression (`vite.config.js` / Static Server Config). Pre-compress all static WebFonts, SVG icons, and JSON translation bundles using Brotli compression (level 11) to accelerate cold-start initial bundle download speeds.",중간,
144,전투 중 카드 연쇄 3D Flip 연출 시 JS 인라인 스타일 최적화 및 CSS 클래스 토글 전환,카드가 연속 뒤집힐 때 JS 인라인 스타일 업데이트로 인한 재계산 병목 발생.,"Optimize Multi-Card Flip Cascade Transitions (`BattleGridSlot.vue`). Utilize pure CSS class toggling for card 3D `rotateY(180deg)` animations instead of JS inline style mutations, allowing browser compositor threads to render multi-flip cascades at smooth 60fps.",높음,
145,인게임 상점 및 주식 모달 내 가격/재화 타이포그래피(Font Weight/Scale) 통일,상점과 주식 모달 간 가격/수량 텍스트 크기 및 자간이 미세하게 다름.,Unify Currency & Price Tag Typography Tokens (`styles/typography.css`). Apply standardized CSS class tokens (`text-price-tag` with `font-numeric-tabular`) to all price and balance displays across Shop and Stock Market modals for consistent visual alignment.,중간,
146,전투 중 타일배치 애니메이션 시 requestAnimationFrame 배치 렌더링 및 DOM 오버헤드 최적화,카드를 놓아 인접 타일 수치가 동시 갱신될 때 DOM 속성 변경이 개별 루프로 실행되어 스레드 병목 발생.,Batch Battle Grid DOM Updates via `requestAnimationFrame` (`BattleBoard.vue`). Group all top/right/bottom/left directional number DOM mutations and score counter updates into a single `requestAnimationFrame` tick to eliminate layout thrashing during multi-tile updates.,높음,
147,인게임 상점 카드 팩 구매 시 카드 등급별(SSR/SR/R) 네온 테두리 블룸 강도 정돈,상점 팩 뽑기 결과 팝업에서 카드 등급 테두리 빛 연출이 너무 진하여 카드 일러스트 및 수치가 약간 묻힘.,"Refine Card Rarity Border Glow Intensity (`CardBorderFrame.vue`). Tone down the background bloom intensity for SSR (gold) and SR (purple) card borders by 25%, applying a clean 1px neon stroke to keep the central artwork crisp and readable.",중간,
148,메인 로비 우측 하단 이벤트/공지 뱃지를 단일 롤링 이벤트 필(Rolling Event Pill)로 정돈,로비 하단에 진행 중인 이벤트 뱃지가 사방으로 퍼져 있어 배경 캐릭터 일러스트 시야를 가림.,"Consolidate Lobby Event Banners (`LobbyFloatingFab.vue`). Combine floating event notification badges into a single compact horizontal pill at the bottom-right that auto-rotates event headlines every 5 seconds, preserving main character artwork visibility.",중간,
149,게임 UI 공용 아이콘(SVG Icon) 인라인 스프라이트 맵(SVG Sprite Sheet) 최적화,로비 및 모달 팝업의 소형 SVG 아이콘이 단일 네트워크 요청으로 개별 로드되어 초기 지연 발생.,"Implement Inline SVG Sprite Map (`IconSprite.vue`). Bundle all common UI icons into a single SVG sprite sheet (`<svg><use href='#icon-mail'/></svg>`), reducing HTTP request count for icon assets to zero on initial page load.",중간,
150,전투 중 카드 3D Flip 연출 동적 will-change 할당 및 애니메이션 종료 후 레이어 해제,대전 중 카드가 3D flip되는 순간 전후로 모든 카드 타일에 will-change가 상시 지정되어 있어 GPU 메모리가 축적됨.,"Schedule Dynamic `will-change` Layer Promotion (`BattleGridSlot.vue`). Programmatically attach `will-change: transform` 50ms prior to flip animations and revoke it immediately on transition end (`ontransitionend`), keeping GPU VRAM lean.",높음,
151,모달 팝오버 확인/취소 버튼(Primary vs Secondary CTA)의 시각적 위계 및 스타일 구분,확인 모달 팝업 내부의 확인 버튼과 취소 버튼이 유사한 테두리 스타일을 사용하고 있어 구분이 어려움.,Differentiate Modal Primary vs Secondary CTA Buttons (`BaseButton.vue`). Apply a glowing cyan filled background to Primary CTA buttons (`bg-cyan-600 text-white`) and a translucent outline style to Secondary Cancel buttons (`bg-transparent border-gray-600 text-gray-400`).,중간,
152,대전 종료 후 결과 화면 패널 슬라이드 연출 시 CSS contain: paint GPU 레이어 격리,대전 완료 후 결과 패널 슬라이드 시 하단 3x3 그리드 카드들이 동시 재드로잉되어 미세 지연 발생.,"Isolate Victory Result Modal GPU Layer (`BattleResult.vue`). Apply `contain: paint` and `transform: translate3d(0, 0, 0)` to the result modal overlay container to prevent the underlying battle grid DOM tree from repainting during the slide-in animation.",높음,
153,전투 그리드 타일 box-shadow 애니메이션의 의사 엘리먼트(::after) 분리를 통한 Repaint 최적화,카드를 선택하여 그리드 슬롯 위에 이동시킬 때 box-shadow 연출이 주변 그리드 전체 레이아웃을 다시 페인팅시킴.,"Isolate Box-Shadow Repaints via Pseudo-Elements (`BattleGridTile.vue`). Render the active tile glow effect on an `::after` pseudo-element with `will-change: opacity`, animating only the pseudo-element's `opacity` instead of modulating `box-shadow` spread directly.",높음,
154,전투 중 타일배치 애니메이션 시 requestAnimationFrame 배치 렌더링 및 DOM 오버헤드 최적화,카드를 놓아 여러 인접 타일 수치가 동시에 갱신될 때 DOM 속성 변경과 수치 텍스트 업데이트가 개별 루프로 실행되어 모바일 브라우저에서 스레드 병목 발생.,Batch Battle Grid DOM Updates via `requestAnimationFrame` (`BattleBoard.vue`). Group all top/right/bottom/left directional number DOM mutations and score counter updates into a single `requestAnimationFrame` tick to eliminate layout thrashing during multi-tile updates.,높음,
155,인게임 상점 카드 팩 구매 시 카드 등급별(SSR/SR/R) 네온 테두리 블룸 강도 정돈,상점 팩 뽑기 결과 팝업에서 카드 등급을 나타내는 테두리 색상과 빛 연출이 너무 진하여 카드 원본 일러스트 및 내부 능력치 숫자가 시각적으로 묻힘.,"Refine Card Rarity Border Glow Intensity (`CardBorderFrame.vue`). Tone down the background bloom intensity for SSR (gold) and SR (purple) card borders by 25%, applying a clean 1px neon stroke to keep the central artwork crisp and readable.",중간,
156,메인 로비 우측 하단 이벤트/공지 뱃지를 단일 롤링 이벤트 필(Rolling Event Pill)로 정돈,"메인 로비 하단에 진행 중인 핫타임, 출석 이벤트, 소셜 미션 뱃지가 사방으로 퍼져 있어 로비 배경 캐릭터 일러스트 시야를 어지럽힘.","Consolidate Lobby Event Banners (`LobbyFloatingFab.vue`). Combine floating event notification badges into a single compact horizontal pill at the bottom-right that auto-rotates event headlines every 5 seconds, preserving main character artwork visibility.",중간,
157,게임 UI 공용 아이콘(SVG Icon) 인라인 스프라이트 맵(SVG Sprite Sheet) 최적화,메인 로비 및 모달 팝업에서 사용되는 소형 SVG 아이콘이 각각 단일 네트워크 요청으로 개별 로드되어 초기 렌더링 지연 발생.,"Implement Inline SVG Sprite Map (`IconSprite.vue`). Bundle all common UI icons into a single SVG sprite sheet (`<svg><use href='#icon-mail'/></svg>`), reducing HTTP request count for icon assets to zero on initial page load.",중간,
158,전투 중 카드 3D Flip 연출 동적 will-change 할당 및 애니메이션 종료 후 레이어 해제,대전 중 카드가 3D flip되는 순간 전후로 모든 카드 타일에 will-change가 상시 지정되어 있어 모바일 GPU 컴포지터 메모리가 축적됨.,"Schedule Dynamic `will-change` Layer Promotion (`BattleGridSlot.vue`). Programmatically attach `will-change: transform` 50ms prior to flip animations and revoke it immediately on transition end (`ontransitionend`), keeping GPU VRAM lean.",높음,
159,모달 팝오버 확인/취소 버튼(Primary vs Secondary CTA)의 시각적 위계 및 스타일 구분,확인 모달 팝업 내부의 '확인' 버튼과 '취소' 버튼이 유사한 테두리 스타일을 사용하고 있어 주요 액션 버튼을 직관적으로 구분하기 어려움.,Differentiate Modal Primary vs Secondary CTA Buttons (`BaseButton.vue`). Apply a glowing cyan filled background to Primary CTA buttons (`bg-cyan-600 text-white`) and a translucent outline style to Secondary Cancel buttons (`bg-transparent border-gray-600 text-gray-400`).,중간,
160,대전 종료 후 결과 화면 패널 슬라이드 연출 시 CSS contain: paint GPU 레이어 격리,"대전 완료 후 승리/패배 결과 패널이 아래에서 위로 슬라이드될 때, 하단 3x3 그리드의 카드 엘리먼트들이 동시에 재드로잉되어 슬라이드 애니메이션에 미세한 지연이 발생함.","Isolate Victory Result Modal GPU Layer (`BattleResult.vue`). Apply `contain: paint` and `transform: translate3d(0, 0, 0)` to the result modal overlay container to prevent the underlying battle grid DOM tree from repainting during the slide-in animation.",높음,
161,전투 그리드 타일 box-shadow 애니메이션의 의사 엘리먼트(::after) 분리를 통한 Repaint 최적화,카드를 선택하여 그리드 슬롯 위에 이동시킬 때 선택 타일 외곽선의 복잡한 CSS box-shadow 연출이 주변 3x3 그리드 전체 레이아웃을 다시 페인팅시킴.,"Isolate Box-Shadow Repaints via Pseudo-Elements (`BattleGridTile.vue`). Render the active tile glow effect on an `::after` pseudo-element with `will-change: opacity`, animating only the pseudo-element's `opacity` instead of modulating `box-shadow` spread directly.",높음,
162,스토리 대화창 텍스트 박스 CSS filter: drop-shadow() 제거 및 1px 단색 테두리 전환,대화창 배경 상자에 적용된 입체 블러 그래픽 이펙트(filter: drop-shadow)가 안드로이드 구형 기기에서 텍스트 노드 업데이트 시 레이아웃 지연을 발생시킴.,"Optimize Story Dialogue Textbox CSS for Low-Spec Devices (`StoryDialogueModal.vue`). Replace heavy dynamic `filter: drop-shadow()` blur shaders with a lightweight, high-compatibility 1px solid border (`border: 1px solid rgba(0, 229, 255, 0.3)`), ensuring zero text rendering lag.",높음,
163,인게임 우편함(Mailbox) 모달 수직 헤더 공간 축소 및 미니멀 1줄 탭 바 적용,우편함 상단 헤더 영역에 버튼들이 여러 줄로 배치되어 리스트 목록 영역이 좁아지는 현상.,"Streamline Mailbox Modal Header per design.md (`MailboxModal.vue`). Consolidate top control banners into a compact 1-line header with 'Claim All' and 'Delete Read' icons directly beside the tab titles, expanding visible mail list height.",높음,
164,전투 3x3 그리드 카드 배치 시 WebGL/Canvas 텍스처 노드 명시적 파기(Texture Garbage Collection),연속으로 대전을 진행할 때 카드 타일 위에 로드되었던 이미지 텍스처 노드가 메모리에서 언로드되지 않아 모바일 RAM 점유율이 지속적으로 증가함.,Implement Grid Card Texture Garbage Collection in Battle Engine (`BattleGridSlot.vue`). Explicitly dispose of card sprite WebGL texture bindings and revoke image blob references upon tile unmount to keep RAM footprint low.,높음,
