ID,항목,발견된 이슈 및 현상,AI 개발 프롬프트,우선순위
62,전투 중 카드 배치 가능 슬롯(Valid Placement Tile) 시각 하이라이트 가이드 연출 부족,손패에서 카드 선택 시 3x3 그리드 상에 카드를 둘 수 있는 빈 슬롯 하이라이트 애니메이션이 부족하여 배치 오터치 발생.,"Enhance Valid Placement Slot Highlights on the 3x3 Battle Grid (`GridSlotTile.vue`). When a card in player's hand is selected, render a green pulsing drop-zone outline on all empty valid tiles while dimming occupied slots to prevent misclicks.",중간
63,메인 로비 일일 미션 리셋 카운트다운(Reset Countdown) 타이머 표기 부재,퀘스트 메뉴 및 메인 위젯 상에 일일 미션 초기화 남은 시간(HH:MM:SS) 카운트다운이 표시되지 않아 마감 시간 파악이 어려움.,Add a Live Daily Quest Reset Countdown Timer to the Quest Hub widget. Display a real-time 'Resets in HH:MM:SS' countdown bar synced with server midnight UTC/KST reset timestamp.,중간
64,스토리 모드 오프라인 자동 탐색(AFK Patrol) 방치 보상 모달 UI 부재,접속하지 않은 오프라인 동안 클리어한 에피소드에서 골드/EXP가 자동 축적되는 방치 보상 수령 모달이 없어 재접속 동기 약함.,"Implement an AFK Patrol Reward Popup (`AfkPatrolModal.vue`). Calculate cumulative offline exploration earnings based on cleared story chapters (e.g., Gold & EXP per hour, max 12 hours) and present a 1-tap 'Collect AFK Rewards' modal upon login.",중간
65,전투 승리/스킬 발동 모바일 햅틱 진동(Haptic Feedback) 옵션 부재,모바일 브라우저 환경에서 대전 결과 연출 및 스킬 발동 시 기기 진동 연출 옵션이 없어 촉각적 연출감 부족.,"Integrate Navigator Haptic Vibration API into the Game Settings (`HapticService.js`). Trigger distinct vibration patterns for match victory (success pulse), defeat (heavy double pulse), and card flips (`navigator.vibrate(50)`) when haptics setting is enabled.",낮음
66,전투 중 카드 손패 스와이프/가로 스크롤 UX 개선 및 덱 카드 수 카운터 표기,"손패 카드가 많을 때 스크롤 제스처가 매끄럽지 않으며, 현재 남은 손패 수 및 덱 잔여 카드 수 카운터 뱃지가 표기되지 않음.","Improve Player Hand Horizontal Scroll UX in `BattleHUD.vue`. Enable smooth touch momentum dragging on mobile screens, and add a badge showing 'Remaining Hand Cards: X' and 'Deck Stack Remaining: Y' above the player avatar.",중간
67,메인 로비 BGM 트랙 선택(Jukebox / BGM Selector) 시스템 UI 부재,"메인 배경음악이 1개 트랙으로 고정되어 지루함을 유발할 수 있으며, 해금된 테마곡을 자유롭게 변경 재생하는 주크박스 기능이 없음.","Implement a Jukebox BGM Selector Modal (`BgmJukeboxModal.vue`). Allow players to choose from unlocked game soundtracks (e.g., Main Theme, Webtoon Ep.1 Theme, Battle Boss Track) in the audio settings, saving the selected track preference to local storage.",낮음
68,스토리 모드 3성 완벽 클리어 스테이지 '소탕(Sweep / Instant Clear)' 기능 부재,3성 클리어한 스토리 스테이지 재플레이 시 소탕권을 사용하여 연출 없이 보상을 즉시 획득하는 소탕 기능이 없어 반복 플레이 피로 발생.,"Add a 'Stage Sweep / Instant Clear' (소탕) button to 3-Star cleared Story Episodes in `EpisodeSelectModal.vue`. Deduct entry energy, calculate instant battle rewards (Gold, EXP, Drop Items), and present an Auto-Clear Reward Breakdown popup in 1 tap.",높음
69,친구 목록 내 '마지막 접속 시간(Last Active Timestamp)' 표기 부재,"친구 목록에서 오프라인 유저의 마지막 접속 시간(예: '3시간 전', '2일 전')이 표시되지 않아 비활동 친구 관리가 어려움.","Display 'Last Online' Timestamp Labels in the Friends List Component (`SocialFriendsView.vue`). Format relative time strings (e.g., 'Active 10m ago', '3 days ago') for offline friends and allow sorting the friend list by last login timestamp.",낮음
70,전투 중 카드 드래그 시 예상 수치 변동 및 뒤집힘 실시간 미리보기(Live Preview) 부재,"카드를 그리드에 놓기 전 드래그하는 동안, 타겟 슬롯 배치 시 주변 카드 수치 변화 및 캡처(뒤집힘) 여부가 실시간 미리보기로 표시되지 않아 암산 부담 발생.","Add a Live Battle Calculation Preview Overlay (`BattlePreviewEngine.vue`). While a player drags a card over a valid grid slot, display pulsing projected numbers (+2 / -1) on neighboring cards and highlight cards that will be flipped upon drop.",높음
71,메인 로비 통합 시스템 알림 센터(Notification History Center) 모달 부재,"보상 수령, 길드/친구 알림, 거래 완료 등 일회성 스낵바 알림이 지나간 후 내역을 다시 확인할 수 있는 통합 알림 센터 모달이 없음.","Implement a System Notification Center Modal (`NotificationCenterModal.vue`). Log system events (reward claims, friend requests, trade executions) to state and add a Bell icon on the lobby header with a dropdown drawer showing timestamped recent notification logs.",중간
72,스토리 모드 스테이지 '최초 클리어 보너스(First Clear Bonus)' 식별 배지 부재,스토리 모드 각 스테이지의 최초 1회 클리어 특별 보상과 2회차 이상 반복 클리어 보상이 에피소드 모달에서 명확히 구별되어 보이지 않음.,"Add a 'First Clear Bonus' Badge to the Episode Stage Select Modal. Distinctly highlight one-time first-clear rewards (e.g., '1x SSR Ticket - First Clear Only') with a glowing gift box icon separate from repeatable stage drops.",중간
73,모바일 고해상도 디스플레이 카드 수치/텍스트 폰트 뭉개짐 및 가독성 미흡,모바일 기기 해상도에 따라 카드 4방향 수치 및 카드 설명 폰트가 뭉개지거나 안티앨리어싱 처리가 미흡하여 가독성 저하.,"Optimize Font Rendering and CSS Typography across the game UI. Import a crisp web font (e.g., Noto Sans KR / Pretendard) with `-webkit-font-smoothing: antialiased`, and set responsive `rem`/`clamp()` font scaling for directional card numeric labels.",낮음
74,전투 중 카드 수치 비교 번개/빛 줄기 이펙트(Comparison FX) 연출 가시성 부족,카드를 놓아 인접 카드의 상/하/좌/우 수치를 비교할 때 비교 수치 간 강조 이펙트 없이 바로 뒤집혀 판정 과정 파악이 어려움.,"Add a Stat Comparison Lightning Pulse FX before card flips in `BattleBoard.vue`. When a placed card challenges an adjacent tile, draw a brief glowing particle beam between the matching directional numbers for 300ms before triggering the flip animation.",중간
75,메인 로비 실시간 네트워크 지연 시간(Ping ms) 지표 부재,온라인 대전 및 주식 거래 전 유저의 네트워크 지연 시간(Ping ms) 상태를 사전 확인할 수 있는 지표 뱃지가 없음.,"Add a Real-time Network Latency Indicator Badge (`PingIndicator.vue`) to the main header bar. Ping the WebSocket server every 5 seconds, displaying a color-coded status icon (Green <50ms, Yellow <150ms, Red >150ms) with millisecond text on hover/tap.",낮음
76,스토리 모드 챕터 전체 진행 상황 월드 맵(World Map View) 요약 뷰 부재,스토리 에피소드가 수직 리스트로만 나열되어 전체 세계관 진행률 및 챕터별 클리어 현황을 한눈에 보기 어려움.,"Implement a Story Chapter World Map Summary View (`StoryWorldMap.vue`). Display a visual chapter progression map showing total stars collected, cleared episode nodes, and overall story completion percentage.",중간
77,카드 수집 도감 내 미수집 카드 획득처(Acquisition Source) 가이드 및 바로가기 부재,도감의 미수집 카드를 탭했을 때 해당 카드를 획득할 수 있는 스테이지/상점 팩 정보 및 바로가기 버튼이 없음.,"Add an 'Acquisition Source' (획득처 정보) popover panel to uncollected cards in the Codex (`CardCodexView.vue`). Detail the exact stage drop locations or shop pack pools for the unowned card, with a 'Go Now' (바로가기) button that opens the relevant view.",중간
78,전투 중 카드 배치 불가능 슬롯 드래그 앤 드롭 금지 쉐이딩/아이콘 연출 부재,카드를 드래그하여 이미 카드가 차 있거나 배치 불가한 슬롯 위에 가져갔을 때 빨간색 비활성화 금지 오버레이가 표기되지 않음.,"Implement Invalid Drop Target Shading in `BattleBoard.vue`. When a card is dragged over an occupied or invalid grid slot, render a semi-transparent red prohibition icon (`cursor-not-allowed`) overlay and shake the tile slightly on drop release.",중간
79,메인 로비 내 일일 미션 달성률 미니 프로그래스 바 위젯 부재,퀘스트 메뉴로 이동하지 않고 로비 화면에서 오늘 일일 미션 진행률(예: 3/5 완료)을 바로 확인하는 상단 미니 위젯이 없음.,"Add a Mini Daily Mission Progress Banner to the main lobby interface. Render a compact progress bar showing 'Daily Quests: X/Y Completed', clicking which directly opens the Quest Hub modal with claimable tasks highlighted.",중간
80,스토리 모드 추천 클리어 덱 불러오기(Load Clear Deck) 기능 부재,해당 스테이지를 클리어할 때 효과적인 덱 조성을 돕기 위해 이전 클리어 덱 성분 및 보유 카드 기반 추천 덱을 바로 불러오는 기능이 없음.,"Implement a 'Load Recommmended Clear Deck' button in the Episode Pre-Battle view. Fetch the player's previously saved clear deck or the average stage clear deck composition for that episode, allowing players to auto-apply matching owned cards in 1 tap.",중간
81,카드 스킬 업그레이드 포인트 전체 초기화(Skill Reset) 및 환급 버튼 가시성 부족,스킬 포인트를 잘못 투자했을 때 이를 리셋하여 재투자할 수 있는 스킬 초기화(Reset) 버튼이 명확히 노출되지 않음.,Add a prominent 'Reset Skill Points' (스킬 초기화) button to the Skill Upgrade view (`SkillNode.vue`). Allow players to reset invested skill points back to 0 with a confirmation alert detailing the refunded skill points and token costs.,높음
82,전투 중 카드 캡처 성공 vs 방어 성공 구분 사운드 이펙트(SFX) 부재,카드를 놓아 상대를 캡처(뒤집기)할 때 성공음과 실패/방어음의 시각/청각적 구분이 약함.,"Integrate Distinct Flip Victory vs Defense Audio SFX (`BattleSoundEngine.js`). Play a heavy booming impact SFX when a card successfully captures an opponent card, and a metallic deflection sound when a card fails to flip the target.",중간
83,메인 로비 보유 카드 수 및 인벤토리 정원(Inventory Capacity) 위젯 부재,로비 상단에 보유 카드 수 및 최대 인벤토리 한도(예: 124/200)가 표시되지 않아 카드 팩 구매 시 가득 차임 여부 확인이 어려움.,"Add a Live Inventory Capacity Indicator Widget to the Main Lobby header. Display a 'Cards: X/Y' counter badge, and show an 'Inventory Full! Manage Cards' alert modal when attempting to open card packs with a full inventory.",중간
84,스토리 챕터 마지막 스테이지 클리어 후 연계 웹툰 팝업 자동 연출 부재,스토리 챕터의 최종 스테이지를 클리어했을 때 연계된 다음 웹툰 에피소드가 자동으로 감상 모달로 뜨지 않아 스토리 연결성 부족.,"Implement an Auto-Trigger Webtoon Episode Modal upon Chapter Completion. When a player clears the final stage of a story episode, automatically present the corresponding Webtoon Viewer popup before returning to the chapter select screen.",중간
85,카드 스킬 트리 선행 조건 연결선(Skill Tree Connector Line) 가시성 부족,스킬 페이지의 노드 간 선행 경로 연결선이 어둡고 얇아 스킬 해금 순서를 직관적으로 파악하기 어려움.,"Enhance Skill Tree Connector Line Visuals in `SkillNodeTree.vue`. Render glowing animated SVG connector lines between prerequisite skill nodes, changing line color from dim gray to glowing gold when a prerequisite node is unlocked.",중간
86,메인 로비 산만한 배너/위젯 통합 및 접이식 사이드 드로어(Collapsible Drawer) 도입,"로비 화면에 이벤트 배너, 퀘스트 위젯, 주식 티커 등이 동시 노출되어 시선이 분산되고 복잡함.","Refactor the Main Lobby Layout to reduce visual noise (`LobbyView.vue`). Consolidate secondary widgets (Stock Ticker, Event Banners, Quest Hub) into a sleek Collapsible Side Drawer (`LobbyDrawer.vue`) that can be toggled on/off, keeping the main center screen clean and focused strictly on character/deck presentation.",높음
87,전투 HUD 화면 불필요한 고정 텍스트 제거 및 미니멀 오버레이 적용,전투 중 보드 주변 고정 라벨 및 가이드 문구가 상시 노출되어 중앙 카드 판면 집중을 방해함.,"Simplify the Battle HUD Interface (`BattleHUD.vue`). Remove permanent text labels around the board edge, collapse non-essential match stats into a discreet top-right gear icon popover, and apply semi-transparent minimalist borders so players can focus entirely on the 3x3 card board.",높음
88,마이덱/카드 상세 페이지 수직 나열 모듈의 탭 분리(Tabification) 구조화,"카드 상세 및 강화 화면에서 스탯, 스킬 노드, 레벨업 박스가 길게 수직 나열되어 화면이 어지럽고 스크롤 피로 유발.","Redesign the Card Detail View layout (`CardDetailModal.vue`). Tabify the card view into 3 clean sub-tabs: 'Stats & Deck', 'Skills & Nodes', and 'Lore & Artwork' to eliminate long vertical scrolling and reduce screen visual density.",중간
89,상점 상품 카드의 시각적 복잡도 감소 및 탭별 분리 배치,"상점 내 팩, 패키지, 재화 상품이 서로 다른 규격과 태그로 한 화면에 길게 노출되어 시각적 피로감 발생.","Standardize Shop Item Cards Layout (`ShopView.vue`). Apply a unified grid card dimension, clean dark-mode background container, and group related items (Card Packs, Tokens, Packages) into segmented top tabs rather than displaying all store items on a single scroll view.",중간
90,상단 헤더 재화(Currency Bar) 아이콘 고정 노출 축소 및 지갑 팝오버 통합,헤더 상단에 4개 이상의 재화 아이콘이 늘어서 있어 영역이 좁고 산만함.,"Consolidate Top Currency Bar Items (`MainHeader.vue`). Display only 2 primary currencies (Gold & SNS Tokens) on the header bar, and move secondary Web3/Gas tokens into an expandable 'Wallet Balance Overview' slide-down popover accessible via a single compact wallet icon.",높음
91,전투 중 아바타 프로필 카드 주변 정보 간소화 및 오버레이 정리,"전투 화면 상/하단 프로필에 MMR, TP, 전술 등의 수치가 늘어서 카드 판면 시선을 강탈함.","Streamline Battle Player Profile Nameplates (`PlayerProfileCard.vue`). Hide secondary match stats (MMR, Deck Power TP) behind a single compact profile avatar tap gesture, rendering only player name, HP bar, and current turn status on the main battle HUD.",높음
92,스토리 모드 에피소드 리스트 수직 카드 여백 정리 및 아코디언(Accordion) 방식 압축,에피소드 스테이지 카드가 크게 나열되어 스크롤 길이가 길어지고 한눈에 보기 어려움.,"Refactor Episode Selection List (`EpisodeList.vue`). Convert the expanded episode cards into a compact Accordion List layout where only the active/selected episode expands its full stage details, keeping unselected episodes collapsed into thin 1-line row bars.",중간
93,소셜/친구 목록 화면 내 비활성 탭 정리 및 유저 검색 드로어 전환,"친구 목록, 요청, 검색 탭이 한 화면에 펼쳐져 카드 목록 가독성이 떨어짐.","Redesign the Social View Layout (`SocialView.vue`). Present a clean, full-width Friends List as the default view, moving the 'Add Friend Search' and 'Pending Requests' inputs into a dedicated top slide-in Search Drawer to maximize list readability.",중간
94,상점 카테고리 세그먼트 버튼(Segmented Tab Control) 적용 및 스크롤 피로 감소,"상점 내 카드 팩, 패키지, 토큰 충전 섹션이 한 화면에 길게 나열되어 있어 특정 상품을 찾으려면 긴 스크롤이 필요하고 시각적으로 어지러움.","Refactor Shop View Category Navigation (`ShopView.vue`). Implement top Segmented Tab Buttons ('Card Packs' | 'Bundles' | 'Token Top-Up') to show only 1 selected item category per view, eliminating vertical scroll clutter.",중간
95,전투 중 보조 수치 뱃지 미니멀화 및 확장형 팝오버 전환,"대전 화면 상/하단에 남은 덱 카드 수, 손패 카드 수, 턴 시간 등의 보조 수치 뱃지가 화면 가로 공간을 차지함.","Streamline Battle HUD Auxiliary Badges (`BattleHUD.vue`). Collapse secondary badges into a single compact 'Match Stats' icon in the top right, displaying full deck stack counts only on hover/tap to maximize visible canvas area around the 3x3 grid.",중간
96,마이덱 스킬 노드 강화 트리 화면의 플로팅 도움말 전환,스킬 업그레이드 화면 상/하단에 고정 팁 박스가 상시 노출되어 스킬 노드 트리의 시야를 가림.,"Clean up Skill Tree Upgrade Layout (`SkillView.vue`). Move static help text boxes into an expandable floating 'Skill Guide' popover button (`?`), leaving maximum screen area for viewing and interacting with the skill tree nodes.",중간
97,스토리 모드 에피소드 미션 보상 상자 아이콘 오버레이 단순화,"스토리 에피소드 타일에 골드, 경험치, 재화 아이콘이 빽빽하게 붙어있어 타일 카드가 지저분해 보임.","Simplify Episode Mission Reward Overlays in `EpisodeList.vue`. Group multiple drop reward icons into a single clean 'Reward Chest' preview badge on episode tiles, opening a detailed reward list popup only upon clicking the badge.",중간
98,설정(Settings) 모달 내부 흩어진 토글 항목의 아코디언(Accordion Section) 모듈화,"사운드, 그래픽, 햅틱, 계정, 푸시 알림 등이 한 화면에 길게 늘어서 있어 시각적으로 어지럽고 수직 스크롤이 김.","Refactor Settings Modal (`GameSettingsModal.vue`). Group settings options into clean Accordion Sections ('Audio & FX' | 'Graphics & Display' | 'Account & Security' | 'Notifications'), keeping only the active category expanded to reduce modal clutter.",중간
99,전투 승리/패배 결과 화면의 상세 보상 내역 팝업 오버레이 전환,"대전 종료 결과 화면에 골드, 토큰, EXP, 카드 조각, MMR 수치가 화면 가득 빽빽하게 노출되어 시각적 밀도가 과도함.","Simplify Match Victory/Defeat Results View (`BattleResult.vue`). Display only 2 primary summary metrics ('Victory/Defeat' and 'Total SNS Tokens Earned') on the main result card, moving detailed EXP and item drop breakdowns into a single 'View Rewards Detail' collapsible popover.",높음
100,우편함(Mailbox) 메시지 상세 보기 Slide-In 드로어 전환,우편함에서 개별 우편을 선택할 때 화면 전체를 덮는 대형 모달이 열려 목록과 세부 내용을 오갈 때 산만함.,"Redesign In-Game Mailbox Layout (`MailboxModal.vue`). Implement a clean 2-column Master-Detail layout (Left: Mail List, Right: Mail Details) on tablet/desktop viewports, and a smooth right-to-left Slide-In Drawer on mobile viewports.",중간
101,캐릭터 주식 시장(Stock Market) 차트 및 거래 폼 미니멀 탭 분리,"주식 모달에서 캔들 차트, 호가창, 매수/매도 수량 슬라이더가 한 화면에 빽빽하게 배치되어 오터치가 자주 발생함.","Streamline Stock Trading Modal (`StockMarketModal.vue`). Separate the interface into 2 top sub-tabs: 'Market Chart' and 'Trade (Buy/Sell)', isolating chart visualizers from order execution controls to clean up modal layout.",중간
